category;shortname;fullname
25;AGAMA KRISTEN ( XI MPLB 2 );AGAMA KRISTEN ( XI MPLB 2 )
25;PENDIDIKAN PANCASILA ( XI MPLB 2 );PENDIDIKAN PANCASILA ( XI MPLB 2 )
25;BAHASA INDONESIA ( XI MPLB 2 );BAHASA INDONESIA ( XI MPLB 2 )
25;BAHASA INGGRIS ( XI MPLB 2 );BAHASA INGGRIS ( XI MPLB 2 )
25;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI MPLB 2 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI MPLB 2 )
25;PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI MPLB 2 );PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI MPLB 2 )
25;KONSENTRASI KEAHLIAN ( XI MPLB 2 );KONSENTRASI KEAHLIAN ( XI MPLB 2 )
25;MUATAN LOKAL ( XI MPLB 2 );MUATAN LOKAL ( XI MPLB 2 )
25;MATA PELAJARAN PILIHAN ( XI MPLB 2 );MATA PELAJARAN PILIHAN ( XI MPLB 2 )
25;MATEMATIKA ( XI MPLB 2 );MATEMATIKA ( XI MPLB 2 )
25;SEJARAH ( XI MPLB 2 );SEJARAH ( XI MPLB 2 )
